,subject_id,relation,object_id,question,subject_name,object_name,qid,topic_words,topic_words_names,golden_word,golden_word_name,word_score,type,type_name
14,/m/03fmfd5,/common/topic/notable_types,/m/01xlj26,how was maui released ,Maui,Musical Release,14,"[u'/m/0n8rgw8', u'/m/013ybss', u'/m/0m3n2gb', u'/m/0ggylfc', u'/m/0mmcmjz', u'/m/0mfqcwy', u'/m/0f3h8z6', u'/m/0l55_vj', u'/m/0nlj93', u'/m/0cmc2g1', u'/m/03fmfd5']","[u'Maui', u'Maui', u'Maui', u'Maui', u'Maui', u'Maui', u'Maui', u'Maui', u'Howdy From Maui', u'Maui Film Festival', u'Maui']",/m/03fmfd5,Maui,"[1.000001, 1.000001, 1.000001, 1.000001, 1.000001, 1.000001, 1.000001, 1.000001, 0.666667, 0.666667, 2.0]",/m/01xlj26,Musical Release
15,/m/01_d4,/location/location/events,/m/0b27c,Whats the name of a battle that happened in chicago,Chicago,Battle of Fort Dearborn,15,"[u'/m/0kryjw0', u'/m/0mpvgcf', u'/m/0rrbtgv', u'/m/0mvtymy', u'/m/0mdq8zp', u'/m/017bcjl', u'/m/0ml2jrr', u'/m/0v_1b1r', u'/m/0dtnqkq', u'/m/0rr9ys_', u'/m/01_d4']","[u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago']",/m/01_d4,Chicago,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",/m/01m9,City/Town/Village
16,/m/02nzb8,/soccer/football_position/players,/m/047cjkf,what player plays the position midfielder?,Midfielder,Stelios Iliadis,16,"[u'/m/02nzb8', u'/m/0k9ww39', u'/m/0z03q0_', u'/m/02vx4']","[u'Midfielder', u'Midfielder', u'Midfielder', u'Soccer']",/m/02nzb8,Midfielder,"[1.983856, 1.000002, 1.0, 0.00371]",/m/02h7rpk,Football Position
17,/m/026d753,/location/location/containedby,/m/09c7w0,which country is cheney tech in,Howell Cheney Technical High School,United States of America,17,"[u'/m/026d753', u'/m/03q4mk', u'/m/0jvpl7z', u'/m/07hxcc', u'/m/04yh9n9', u'/m/02qms1b', u'/m/0bkrbh', u'/m/02774lr', u'/m/0mvnsfx', u'/m/0c0bcs']","[u'Howell Cheney Technical High School', u'Tech Romancer', u'Anna Cheney', u'Chris Cheney', u'Vet Tech Institute', u'Virginia Tech shooting', u'Virginia Tech Hokies', u'Oklahoma Tech Prep', u'Denver Marriott Tech Center', u'Texas Tech University System']",/m/026d753,Howell Cheney Technical High School,"[2.0, 0.5, 0.5, 0.5, 0.416667, 0.416667, 0.416667, 0.416667, 0.375, 0.375]",/m/01y2hnl,College/University
18,/m/025rzfc,/military/military_conflict/military_personnel_involved,/m/01rv2v,which red army general was involved in the great patriotic war?,Great Patriotic War,Andrey Vlasov,18,"[u'/m/0brzwzf', u'/m/0f52ld', u'/m/01hhndt', u'/m/0f752b', u'/m/0c1fgn', u'/m/091m83c', u'/m/0b18vc', u'/m/0hn8t_r', u'/m/027d2k6', u'/m/01j1ccm', u'/m/025rzfc']","[u'War', u'War', u'The Great Escape', u'The Great Garrick', u'The Great Escape', u'Peter the Great', u'The Great Outdoors', u'The Great Divide', u'The Great Santini', u'The Great Twenty-Eight', u'Great Patriotic War']",/m/025rzfc,Great Patriotic War,"[0.625, 0.625, 0.583333, 0.583333, 0.583333, 0.583333, 0.583333, 0.583333, 0.583333, 0.583333, 2.0]",/m/02h76fz,Military Conflict
19,/m/010zsp1,/music/recording/artist,/m/01wyz92,who recorded the song shake ya body?,Shake Ya Body,Lil' Kim,19,"[u'/m/0jzg72x', u'/m/0cvccbp', u'/m/012htj', u'/m/0hp7ss8', u'/m/0crrpty', u'/m/02gxyy', u'/m/0fwkkf8', u'/m/0k3qy0z', u'/m/01k8ry0', u'/m/0fdf0f', u'/m/010zsp1']","[u'The Body', u'Body Armour', u'Body modification', u'Joint Body', u'Harlem Shake', u'Lewy body', None, u'Body Memory', u'Body Love', u'Body Rock', u'Shake Ya Body']",/m/010zsp1,Shake Ya Body,"[0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 2.0]",/m/0kpv11,Musical Recording
20,/m/014k0b,/music/album_release_type/albums,/m/0f_l0lh,what album is single (music),Single,Time for Dreams (feat. Lang Lang),20,"[u'/m/03xt2c7', u'/m/031glqs', u'/m/01hfb1y', u'/m/0b6gj6s', u'/m/0np5qrk', u'/m/076vxf_', u'/m/0_jd1jj', u'/m/0zk0ww5', u'/m/03fntfy', u'/m/03xylqh', u'/m/014k0b']","[u'Single Engine', u'The Holy Single', u'A Single Man', u'SINGLE COLLECTION Vol.1', u'2009 Fanclub Single', u'Another Single Day', u'A Single Explosion', u'Charting the Single', u'AXS SINGLE TRACKS', u'A Single Drop of Red', u'Single']",/m/014k0b,Single,"[0.75, 0.666667, 0.666667, 0.666667, 0.666667, 0.666667, 0.666667, 0.666667, 0.666667, 0.6, 2.0]",,
21,/m/0j3yffd,/people/person/nationality,/m/0162v,What is terry adamson's nationality?,Terry Adamson,Barbados,21,"[u'/m/0fy_98', u'/m/0v38g6d', u'/m/0df0yq', u'/m/0484hhn', u'/m/0c00rpb', u'/m/04qpx3', u'/m/0f6m4x', u'/m/03cs530', u'/m/07k7bdn', u'/m/0bgbvy2', u'/m/0j3yffd']","[u'Terry', u'Terry Sumsion', u'Terry Adlington', u'Terry Heights', u'Terry Phelps', u'Terry Moore', u'Terry Griggs', u'Terry Hughes', u'Terry Ray', u'Terry Glinwood', u'Terry Adamson']",/m/0j3yffd,Terry Adamson,"[0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/01xljr7,Football player
22,/m/03x_s7f,/soccer/football_player/position_s,/m/02_j1w,what is the position that  mike twellman plays,Mike Twellman,Defender,22,"[u'/m/03hj22y', u'/m/02wvft6', u'/m/0gm9qj', u'/m/0b15gr', u'/m/07sc9z5', u'/m/0bpxhd', u'/m/06m4mj', u'/m/0l2852s', u'/m/0fyvsr', u'/m/0dljz5', u'/m/03x_s7f']","[u'Mike Crudale', u'Mike He', u'Mike Webb', u'Mike Prince', u'Mike Pilat', u'Mike Green', u'Mike Enos', u'Mike Tyson', u'Mike Smith', u'Mike Hill', u'Mike Twellman']",/m/03x_s7f,Mike Twellman,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/01xljr7,Football player
23,/m/04t36,/film/film_genre/films_in_this_genre,/m/02pzv6j,list some musical films,Backstage Musical,Hysteria – The Def Leppard Story,23,"[u'/m/0220p9g', u'/m/05s_z9w', u'/m/03j7_2x', u'/m/0kpv17', u'/m/0414m08', u'/m/0crv88m', u'/m/0ctjn9', u'/m/0dp71y7', u'/m/0xkf9mh', u'/m/0_rxv78', u'/m/04t36']","[u'Musical comedy', u'SVAROG FILMS', u'Musical Depreciation', u'Musical Album', u'Maverick Films', u'Musical Baby', u'Innovia Films', u'Musical Shark Attack', u'High School Musical', u'High School Musical', u'Backstage Musical']",/m/04t36,Backstage Musical,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.416667, 0.416667, 0.416667, 0.416667, 2.0]",/m/0kpytn,Film genre
24,/m/01bph6y,/music/recording/tracks,/m/0rt6gpv,which track is in the recording teleportation,Teleportation,Teleportation,24,"[u'/m/01pv03l', u'/m/0gb7dr5', u'/m/0ftnx10', u'/m/0n0k6jx', u'/m/0l6l0pr', u'/m/0m96dx3', u'/m/0dz6gdj', u'/m/0dpn9zd', u'/m/0_7_9rk', u'/m/0dt7tp4', u'/m/01bph6y']","[u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation', u'Teleportation (Slam remix)', u'Teleportation']",/m/01bph6y,Teleportation,"[1.000181, 1.000136, 1.000045, 1.000045, 1.000045, 1.000045, 1.000045, 1.000045, 1.0, 0.6, 2.0]",/m/0kpv11,Musical Recording
25,/m/02jx1,/location/location/contains,/m/055whd,what is a name of gay night club in england,England,G-A-Y,25,"[u'/m/0q78hd1', u'/m/0m2g47_', u'/m/0sjwp_6', u'/m/0lpszxx', u'/m/0brgc1c', u'/m/0q63jqy', u'/m/0m876p7', u'/m/0l49g0q', u'/m/0kjbj0r', u'/m/0jsfzbg', u'/m/02jx1']","[u'England', u'England', u'England', u'England', u'England', u'England', u'England', u'England', u'England', u'England', u'England']",/m/02jx1,England,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0]",/m/01mp,Country
26,/m/033128g,/music/release/track_list,/m/0l275sf,What is a song from the release titled people get ready! the curtis mayfield story,People Get Ready! The Curtis Mayfield Story,Kung Fu,26,"[u'/m/01m8h3h', u'/m/026l225', u'/m/0gyk_v2', u'/m/01z0kpp', u'/m/04c8b82', u'/m/0l_v84', u'/m/010g3m', u'/m/0381666', u'/m/01kqjcv', u'/m/0281dr', u'/m/033128g']","[u'People Get Ready', u'People', u'Ready', u'People', u'Curtis', u'People', u'Mayfield', u'Get Ready to Party', u'Arise! The Best of', u'The Miracles', u'People Get Ready! The Curtis Mayfield Story']",/m/033128g,People Get Ready! The Curtis Mayfield Story,"[0.6875, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.375, 0.325, 0.3125, 2.0]",/m/01xlj26,Musical Release
27,/m/03rjj,/location/location/contains,/m/0gm11j,Name a location in italy,Italy,San Giovanni d'Asso,27,"[u'/m/0tt1w6l', u'/m/0lkvc4y', u'/m/0l1km1s', u'/m/04rlp08', u'/m/0q7j7k2', u'/m/02gpzd', u'/m/02psqkz', u'/m/0c7jkdk', u'/m/0gfwqsw', u'/m/04prm3m', u'/m/03rjj']","[u'Italy', u'Italy', u'Italy', u'Italy', u'Italy', u'Gonzalo Fern\xe1ndez de C\xf3rdoba', u'Kingdom of Italy', u'Italy', u'Italy', u'Italy', u'Italy']",/m/03rjj,Italy,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.288631, 0.016177, 0.0, 0.0, 0.0, 2.0]",/m/01mp,Country
28,/m/03v713,/people/person/nationality,/m/09c7w0,what is ellen swallow richards's nationality?,Ellen Swallow Richards,United States of America,28,"[u'/m/07998x', u'/m/03cl_n0', u'/m/0_mwht3', u'/m/034vc9', u'/m/04_kg0', u'/m/0sw7ntg', u'/m/0ry9yzx', u'/m/0bnrzqf', u'/m/06xryy', u'/m/0c9v87', u'/m/03v713']","[u'Kyle Richards', u'Ellen Litman', u'Kim Richards', u'Brad Richards', u'Ellen Wilkinson', u'Ellen Kugelberg', u'Ellen Malberg', u'Ellen Falguiere', u'Ellen Klages', u'Tom Richards', u'Ellen Swallow Richards']",/m/03v713,Ellen Swallow Richards,"[0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 2.0]",/m/03j41y_,Academic
29,/m/04wn66,/fictional_universe/fictional_character/appears_in_these_fictional_universes,/m/058nt,Which fictional universe does david north appear in?,David North,Marvel Universe,29,"[u'/m/0dt6f3r', u'/m/0nv432x', u'/m/0v166c7', u'/m/0183qhr', u'/m/0gftgq1', u'/m/030shqr', u'/m/069kr5w', u'/m/0c509_c', u'/m/0xhgbss', u'/m/0vx_js0', u'/m/04wn66']","[u'David', u'David', u'David', u'David', u'David', u'North', u'David', u'David', u'David', u'David', u'David North']",/m/04wn66,David North,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 2.0]",/m/02hqb47,Comic Book Character
30,/m/016zwt,/location/location/contains,/m/02z3mgm,Name a city in Nepal.,Nepal,Janakpurdham,30,"[u'/m/0c536bj', u'/m/0lhwqq7', u'/m/0slpngy', u'/m/03c9dm7', u'/m/0806xxv', u'/m/0lzybqr', u'/m/0b6j_wk', u'/m/01hnb8r', u'/m/0jqxdjf', u'/m/0l1rdbd', u'/m/016zwt']","[u'Nepal', u'Nepal', u'Nepal', u'?', u'Selvagem?', u'In Time', u'In Bar', u'In Silico', u'Demain?', u'In Time', u'Nepal']",/m/016zwt,Nepal,"[0.666667, 0.666667, 0.666667, 0.666667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 2.0]",/m/01mp,Country
31,/m/011j5x,/music/genre/artists,/m/0h3wk2h,Name a post-punk artist,Post-punk,Jon South,31,"[u'/m/011j5x', u'/m/07yklv']","[u'Post-punk', u'Post-punk revival']",/m/011j5x,Post-punk,"[1.991935, 0.757563]",/m/0kpv1t,Musical genre
32,/m/0f1tg,/media_common/media_genre/child_genres,/m/02qkswy,What is a child genre of strategy game,Strategy game,Grand strategy wargame,32,"[u'/m/03217db', u'/m/0hjbb25', u'/m/0fb1n_y', u'/m/0zlx41m', u'/m/04n2xjd', u'/m/0ll69my', u'/m/0t_dkfy', u'/m/0nmxry_', u'/m/03b2c_9', u'/m/0fyvb5s', u'/m/0f1tg']","[u'Game', u'Game', u'Dangerous Game', u'The Game', u'The Game', u'The Game', u'Carnival Game', u'The Game', u'Spy Game', u'The Game', u'Strategy game']",/m/0f1tg,Strategy game,"[0.75, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/02p6_hz,Media genre
33,/m/0j641kt,/tv/tv_program/languages,/m/02h40lc,What language is the show elementary broadcast in?,Elementary,English Language,33,"[u'/m/03flqlj', u'/m/02__0', u'/m/026xk9p', u'/m/04yb4sp', u'/m/076kt9m', u'/m/0xnx174', u'/m/0762kcf', u'/m/0768n37', u'/m/0ffnb0', u'/m/0fc0rq', u'/m/0j641kt']","[u'Elementary', u'Elementary particle', u'Parkmont Elementary School', u'Cooper Elementary School', u'Springfield Elementary School', u'Roslyn Elementary School', u'Heritage Elementary School', u'Springfield Elementary School', u'Queen Mary Elementary School', u'Emily Carr Elementary School', u'Elementary']",/m/0j641kt,Elementary,"[1.000037, 0.823925, 0.666667, 0.666667, 0.666667, 0.666667, 0.666667, 0.666667, 0.625, 0.625, 2.0]",/m/02kl65p,Award-Winning Work
34,/m/03dvqqy,/location/location/contains,/m/03m6g9k,where is the 58033 zip code,58033,Fort Ransom State Park,34,[u'/m/03dvqqy'],[u'58033'],/m/03dvqqy,58033,[2.0],/m/01xrdt7,Postal Code
35,/m/04w3yjv,/book/written_work/subjects,/m/0kt51,what subject is racing to the beginning of the road written about?,Racing to the Beginning of the Road,Health,35,"[u'/m/01jwnw2', u'/m/0f2t5cv', u'/m/0dvjsg4', u'/m/02q5xkp', u'/m/037c3k', u'/m/03gbbx1', u'/m/02z10yz', u'/m/0fc69sb', u'/m/0gxm786', u'/m/06c_b9x', u'/m/04w3yjv']","[u'The Beginning', u'The Beginning', u'Racing to the Rainbow', u'Middle of the Road', u'Middle of the road', u'Road', u'To the Extreme', None, u'To The Sea', u'Off the road', u'Racing to the Beginning of the Road']",/m/04w3yjv,Racing to the Beginning of the Road,"[0.642857, 0.642857, 0.589286, 0.589286, 0.589286, 0.571429, 0.47619, 0.47619, 0.47619, 0.47619, 2.0]",/m/01xryvm,Book
36,/m/05pcjw,/education/school_category/schools_of_this_kind,/m/063zld9,what is an example of a private university,Private university,University of Languages and International Studies,36,"[u'/m/0bmfdd_', u'/m/0d96dc', u'/m/0986gf', u'/m/04wlz2', u'/m/0409d4v', u'/m/027wdzx', u'/m/05kl30', u'/m/0fc2yy', u'/m/03m86gp', u'/m/0lvng', u'/m/05pcjw']","[u'Jerash Private University', u'Tunisia Private University', u'Lesley University', u'Hampton University', u'Rutherford University', u'Wilmington University', u'University Circle', u'Goa University', u'Jiamusi University', u'Leiden University', u'Private university']",/m/05pcjw,Private university,"[0.833333, 0.833333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/01y2hmg,School category
37,/m/01hjmb,/media_common/adapted_work/adaptations,/m/0267r5_,the predator (film) is an adaptation of what work,Predator,,37,"[u'/m/0gzhp2', u'/m/0m37j_t', u'/m/0c7d1nm', u'/m/01p6yx0', u'/m/064lwgq', u'/m/0g59999', u'/m/0n7v9_g', u'/m/03fhg0n', u'/m/0m5nj4l', u'/m/06bc_41', u'/m/01hjmb']","[u'The Predator', u'The Game', u'The prince', u'The Charms', u'The Judes', u'The Athlete', u'The Tourist', u'The Blackening', u'The Believer', u'The island', u'Predator']",/m/01hjmb,Predator,"[1.002831, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/0jsg2m,Film
38,/m/02ql5yh,/people/person/gender,/m/05zppz,what is the gender of james hendry?,James Hendry,Male,38,"[u'/m/0zjqqqq', u'/m/0n4wryw', u'/m/04swhch', u'/m/0bh7j9j', u'/m/01nrz4', u'/m/01q7c7', u'/m/0lvh5', u'/m/0962wg', u'/m/0k5k_k', u'/m/063_f7', u'/m/02ql5yh']","[u'James', u'James McManus', u'James Bang', u'James Urquhart', u'James Hetfield', u'James Hunt', u'James Naismith', u'James Potter', u'James Dietrich', u'James Berardinelli', u'James Hendry']",/m/02ql5yh,James Hendry,"[0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/02h66g5,Military Person
